sensor_reading pref Accelx Accely Accelz Gyrox Gyroy Gyroz Magx Magy Magz Temperatura(C)
13680 13680 0.198729 0.069435 9.835883 -0.002350 0.001688 0.001023 61.606166 25.366624 -96.411918 22.494594
13680 13680 0.160420 0.277742 9.708983 0.001911 -0.000442 -0.001108 60.359798 24.830711 -97.621383 22.497589
13696 13680 0.160420 0.227461 9.754475 -0.002350 -0.000442 0.002088 62.496425 23.758880 -97.966949 22.491598
13696 13680 0.203518 0.229855 9.759263 -0.002350 -0.000442 0.002088 62.318374 23.580242 -97.448608 22.512565
13712 13680 0.181969 0.263376 9.780813 0.002976 -0.000442 -0.000043 61.784217 24.473434 -96.930259 22.506574
13696 13680 0.184363 0.265770 9.749687 -0.001285 0.000623 -0.000043 60.359798 25.187986 -97.275825 22.512565
13696 13680 0.169997 0.253798 9.785601 -0.007677 -0.001507 0.005284 61.606166 22.865690 -98.139732 22.509569
13696 13680 0.215489 0.244221 9.764053 0.001911 -0.000442 0.003153 61.428112 23.758880 -96.930259 22.506574
13728 13680 0.172391 0.289713 9.766447 -0.001285 0.001688 -0.004304 61.428112 24.830711 -97.275825 22.518554
13712 13680 0.193940 0.258587 9.754475 -0.003416 -0.001507 0.009545 62.318374 23.937519 -96.757476 22.527540
13696 13680 0.189152 0.244221 9.783207 -0.006611 -0.001507 0.002088 61.072006 23.758880 -98.312507 22.518554
13728 13680 0.004789 -0.658439 9.141529 0.005107 0.002754 -0.008565 61.250061 24.294795 -96.757476 22.521551
13664 13680 0.591398 -0.737452 9.570113 0.018955 -0.000442 0.017002 62.318374 24.294795 -98.139732 22.515560
13744 13680 0.385486 0.143659 9.792784 0.007237 -0.004703 -0.002173 63.030586 24.652072 -97.103042 22.530536
13648 13680 0.184363 -0.735057 8.796746 -0.004481 0.003819 0.001023 62.852531 24.830711 -94.856887 22.530536
13632 13680 0.167603 1.745462 10.499110 0.007237 -0.005768 0.004219 61.428112 23.044328 -96.584701 22.539522
13728 13680 2.712769 0.660833 10.264466 0.113765 0.113543 0.018067 61.072006 25.187986 -99.003639 22.545511
13680 13680 1.673632 0.021549 5.303427 -0.032178 0.457629 -0.197120 59.825641 25.723901 -98.830856 22.539522
13696 13680 0.641679 0.174786 10.333902 0.049848 -0.262501 -0.142790 60.181743 26.081178 -98.139732 22.530536
13808 13680 0.967307 0.083801 12.955686 0.126549 -0.882494 -0.120419 57.510955 29.832580 -97.275825 22.560487
13840 13680 0.471682 -0.536328 10.190242 -0.074789 0.353231 0.111812 55.730430 29.118026 -98.658073 22.539522
14048 13680 -1.242654 -0.639284 13.137655 0.017890 0.150828 0.090506 58.223167 30.189857 -97.966949 22.545511
13616 13680 1.144487 0.186757 13.492014 0.083937 0.534329 0.057483 57.867061 28.403474 -97.966949 22.566478
13696 13680 4.834139 -0.921815 12.744985 -0.112074 -0.624697 -0.038393 50.388858 29.118026 -100.040321 22.563482
14032 13680 3.191633 -0.026338 9.728137 0.466373 0.247768 0.252429 41.308181 29.296665 -103.323165 22.578458
