sensor_reading pref Accelx Accely Accelz Gyrox Gyroy Gyroz Magx Magy Magz Temperatura(C)
14464 13712 2.949807 2.372775 10.750514 1.171959 -0.023427 0.456940 54.484066 32.512153 -95.720794 23.018749
14080 13712 3.431066 2.427844 13.338778 0.012934 -0.230091 0.009522 51.635223 22.151138 -99.176414 23.024740
14368 13712 4.458231 -0.960124 15.170435 0.615883 -0.084148 0.018045 47.361965 20.007478 -102.977600 23.030731
14336 13712 3.466981 1.151670 7.776763 -0.118096 -0.117172 0.119246 47.005859 17.149267 -101.940917 23.027734
14208 13712 3.419094 0.521963 13.659617 0.569010 -0.119302 -0.404872 44.157020 16.077438 -104.014289 23.027734
14256 13712 2.633756 -0.215489 2.923469 -1.273925 -0.033014 -0.000065 45.047283 16.256076 -104.878196 23.018749
14368 13712 3.450220 -1.417440 8.145490 0.752239 0.280178 -0.005392 42.554546 30.189857 -100.385887 23.018749
14144 13712 2.820513 1.676027 0.840408 0.018260 0.569934 0.494225 55.552379 18.935649 -98.830856 23.021745
14272 13712 3.603457 0.141265 8.284360 -0.010502 0.083101 0.014849 62.496425 20.186117 -95.548011 23.021745
14448 13712 4.180489 2.729529 11.617259 0.576467 -0.154456 0.192751 59.825641 11.790122 -98.485290 23.006769
14240 13712 3.514867 2.672065 14.938186 -0.519706 -0.005317 -0.173706 56.620693 11.790122 -100.558670 23.012760
14560 13712 2.935441 -0.936181 13.379482 -0.299193 -0.234352 -0.282365 52.525485 26.259815 -100.040321 23.009763
14592 13712 2.997693 0.129293 12.443301 0.919488 -0.076691 0.119246 49.676647 25.187986 -101.422569 23.039716
14320 13712 2.621784 2.049541 8.844633 -0.191600 -0.061777 -0.210991 47.896121 11.254207 -101.768135 23.024740
14512 13712 3.124593 -0.301685 12.701888 0.302690 -0.136347 -0.331368 47.718070 11.075570 -102.632041 23.006769
14240 13712 2.916286 1.072657 7.858170 0.140768 -0.068169 -0.106593 47.005859 -0.357276 -99.176414 23.024740
14064 13712 2.703191 0.988856 8.930828 -0.688021 -0.022362 -0.576382 45.759490 13.755143 -102.459259 23.006769
14336 13712 2.968961 -1.221105 10.405732 -0.548469 -0.146999 -0.343086 43.978965 21.615222 -102.804824 23.009763
14432 13712 3.304167 -0.658439 12.256544 0.213207 -0.121433 -0.021371 39.171550 36.442192 -98.139732 23.009763
